object_type,object_number,object_name,usage_count,sequence_count,status
preset,0.21,350 nad lidi,0,0,dead
preset,0.22,350 doprava,0,0,dead
preset,0.23,350 doleva,0,0,dead
preset,0.25,beam,0,0,dead
preset,0.26,strobo hor,5,1,live
preset,0.27,strobo,0,0,dead
preset,0.28,strobo,0,0,dead
preset,0.29,Preset 0.29,0,0,dead
preset,0.30,gula,3,1,live
preset,0.31,vostra gula,6,1,live
preset,0.32,Spiddery gula,0,0,dead
preset,0.33,vorez,0,0,dead
preset,0.34,350 plocha,23,1,live
preset,0.35,spii stred,0,0,dead
preset,0.36,ondra klavir,1,1,live
preset,0.37,byk,0,0,dead
preset,0.38,animacnigobo,0,0,dead
preset,0.39,gobo,2,1,live
preset,0.40,tetra vstup,0,0,dead
preset,0.41,tetra scan,5,2,live
preset,0.42,dvere k vytahu,2,1,live
preset,0.43,klavir,0,0,dead
preset,0.44,stred zacatek,0,0,dead
preset,0.45,plocha spiider,20,1,live
preset,0.46,spot fotka,0,0,dead
preset,0.47,Kluci stred koule,1,1,live
preset,0.48,lidi,0,0,dead
preset,0.49,BAR,7,1,live
preset,0.50,stred,3,1,live
preset,0.51,buzek,2,1,live
preset,0.52,Zacatek lidi,3,1,live
preset,0.53,Astery Start,0,0,dead
preset,0.54,Spii start na blesky,2,1,live
preset,0.55,Zebrik,2,1,live
preset,0.56,vytah,4,1,live
preset,0.57,Miki lavka prejezd,4,1,live
preset,0.58,Projzi scan,6,1,live
preset,0.59,Preset 0.59,0,0,dead
preset,0.60,spii stred,1,1,live
preset,0.62,tetra do zad,1,1,live
preset,0.63,spot kejs,1,1,live
preset,0.68,Preset 0.68,0,0,dead
preset,0.69,Preset 0.69,0,0,dead
preset,0.70,stripterka v satne na miste,1,1,live
preset,0.72,satna350,1,1,live
preset,0.74,kruh stred,1,1,live
preset,0.75,goba sex,1,1,live
preset,0.76,vrata,2,1,live
preset,0.77,strobo,1,1,live
preset,0.78,bejk,1,1,live
preset,0.79,bejk nahore,0,0,dead
preset,0.80,fial do halue,0,0,dead
preset,0.81,zaverecna cesta,0,0,dead
preset,0.83,Natalka spot,1,1,live
preset,0.85,do lidi do ksicht,3,1,live
preset,0.86,blesk pre show,7,5,live
preset,0.88,bejk spiider nahore,1,1,live
preset,0.89,bejk nahore350,0,0,dead
preset,0.90,signal,6,1,live
preset,0.92,mikistrip zaver,2,1,live
preset,0.93,zebrik zaver,2,1,live
preset,0.94,Spot konfety,1,1,live
preset,0.95,Velky blesky,3,1,live
preset,0.96,Spot na kokain,1,1,live
preset,0.97,alex grrr krouzek,1,1,live
preset,0.99,Lajny,0,0,dead
preset,2.1,Preset 2.1,0,0,dead
preset,2.2,Preset 2.2,0,0,dead
group,0,HelM1,0,0,dead
